reviewer_id,review,summarize,token_sentence,information,rating
47,"Amazing dress but runs large Itâs so amazing!! It fits very nice, and the pockets!!! Iâm a little on the chunky size and it makes me look so good. You donât even need a bra with it. I measured at an xxl for size but a large fits perfect"," Amazing dress but runs large . It fits very nice, and the pockets!!! Im a little on the chunky size and it makes me look so good . You dont even need a bra with it .","● Amazing dress
● Im a little on the chunky size and it makes me look so good.
● You dont even need a bra with it.","● type:
	- amazing dress (positive)
	- chunky size (positive)
● properties:
	- chunky size (positive)
",5
48,Super cute pants I rarely write reviews but had to comment on these pants. these pilcro pants are my favorite for the fall and winter. they fit beautifully and are a great alternative to jeans. the pants are so comfortable and flattering. love the print and they are so versatile as they can be worn as very casual pants and can be dressed up. i am in my 60's and am always looking for clothes that are stylish without being too young looking for a woman my age. retailer is my favorite store!, These pilcro pants are my favorite for the fall and winter . They fit beautifully and are a great alternative to jeans . The pants are so comfortable and flattering .,"● Super cute pants I rarely write reviews
● these pilcro pants are my favorite for the fall and winter.
● they fit beautifully and are a great alternative to jeans.
● the pants are so comfortable and flattering.
● love the print and they are so versatile as they can be worn as very casual pants and can be dressed up.
● i am in my 60's and am always looking for clothes that are stylish without being too young looking for a woman my age.
● retailer is my favorite store!","● other:
	- print (negative)
	- pilcro pant (positive)
	- retailer (positive)
	- young look (positive)
	- casual pant (negative)
	- review (positive)
● emotion:
	- pant super cute/cute pant (positive)
	- great alternative (positive)
● type:
	- pant super cute/pilcro pant/casual pant/pant/cute pant (positive)
● application:
	- favorite store (positive)
",5
49,Ummmm no Maybe if you are tiny!!!  I felt like a huge garbage bag!!!  Not flattering at all.  Too big as well.," Ummmm no Maybe if you are tiny!!!  I felt like a huge garbage bag!!!  Not flattering at all. Not flattering as well as too big as well. Ummmmno . Maybe if she is tiny, maybe if she's tiny!",● I felt like a huge garbage bag!!!,,1
50,Pretty Great color. It isnât a loose as I thought but I really like it. Super comfortable., It isnt a loose as I thought but I really like it. Super comfortable. Pretty Great color. It's not loose as well as thought but it is super comfortable .,● Pretty Great color.,"● emotion:
	- great color (positive)
● properties:
	- great color (positive)
",5
51,Buttons The buttons are not sewn on good at all. They fell out after wearing a few times., The buttons are not sewn on good at all. They fell out after wearing a few times . The buttons fell out of the buttons after wearing them .,"● Buttons The
● tons are not sewn on good at all.
● They fell out after wearing a few times.","● application:
	- few time (negative)
● service:
	- few time (negative)
● emotion:
	- few time (negative)
",3
52,Love the print & style I tried this on the other day at the local store in a size xs/s. although it's wool i didn't notice that is was itchy & usually wool bothers me. i am of small build but i did like the long & oversized look. i admit i am drawn to the print anyways. i noticed the right armhole was larger than the left so i tried on another xs/s - it was the same. probably the armholes will be smaller in the petite sizes. i decided to make other purchases but will order the petite xs/s in a few wks since the invent, Love the print  style I tried this on the other day at the local store in a size xs/s. although it is wool i did not notice that is was itchy  usually wool bothers me .,"● Love the print  style I tried this on the other day at the local store in a size xs/s.
● although it is wool i did not notice that is was itchy  usually wool bothers me.
● i am of small build
● i did like the long  oversized look.
● i noticed the right armhole was larger than the left so i tried on another xs/s - it was the same.
● probably the armholes will be smaller in the petite sizes.
● i decided to make other purchases
● will order the petite xs/s in a few wks since the invent","● other:
	- other day (positive)
	- print style (positive)
	- petite xs/petite size (negative)
	- other day (positive)
	- oversized look (negative)
	- other purchase (negative)
● experience:
	- right armhole (positive)
	- print style (positive)
● application:
	- local store (positive)
● properties:
	- size xs/petite size/oversized look (negative)
● emotion:
	- few wks (negative)
",5
53,The perfect purple piece I got the dark purple color of this top and it is perfect! i wear it all the time. it's comfortable and it's cute! plus if it gets cold i can throw a warm sweater on top of it., The perfect purple piece I got the dark purple color of this top and it is perfect! i wear it all the time. It is comfortable and it's cute! plus if it gets cold i can throw a warm sweater on top of it .,"● The perfect purple piece I got the dark purple color of this top and it is perfect!
● plus if it gets cold i can throw a warm sweater on top of it.","● emotion:
	- piece perfect (positive)
● application:
	- piece perfect/purple piece (positive)
● type:
	- warm sweater (positive)
● properties:
	- purple color (positive)
",5
54,"$15 max if I bought it at WalMart - poor quality Cheap quality, overpriced, don't expect to get more than 3 washes on delicate cycle out of this."," Cheap quality, overpriced, do not expect to get more than 3 washes on delicate cycle out of this . 15 max if I bought it at WalMart - poor quality .","● 15 max if I bought it at WalMart - poor quality Cheap quality
● do not expect to get more than 3 washes on delicate cycle out of this.","● emotion:
	- poor quality (negative)
● properties:
	- cheap quality/poor quality (negative)
● application:
	- wash (positive)
",2
55,Casual comfortable dress Bought this dress to wear when it was warm instead of capris or shorts, Bought this dress to wear when it was warm instead of capris or shorts . Dressed to wear for warm weather .,● Casual comfortable dress Bought this dress to wear when it was warm instead of capris or shorts,"● type:
	- comfortable dress/dress comfortable (positive)
● other:
	- comfortable dress/dress comfortable (positive)
",5
56,"An almost for me... I didn't end up keeping this dress...it just wasn't right for me. it is very cute and fit well but the fabric was very thin (partially lined which is a plus) and the hem line coming up on the sides made it just too short for me. i ordered the petite xs and liked the length in front and back well but the side slit/vent was just too high for my liking. the tie part hit at the perfect spot for me at only 5'4"" (~118#). i guess i just didn't ""love"" it and would rather save my funds for something i ca"," An almost for me... I did not end up keeping this dress...it just was not right for me . The tie part hit at the perfect spot for me at only 5'4"" 118# . The fabric was very thin partially lined which is a plus .","● I did not end up keeping this dress...it just was not right for me.
● the fabric was very thin partially lined which is a plus and the hem line coming up on the sides made it just too short for me.
● i ordered the petite xs and liked the length in front and back well
● the side slit/vent was just too high for my liking.
● the tie part hit at the perfect spot for me at only 5'4"" 118#.
● i guess i just did not ""love"" it and would rather save my funds for something i ca","● other:
	- petite x (negative)
● emotion:
	- perfect spot (positive)
● experience:
	- perfect spot (positive)
	- side slit/side (positive)
● type:
	- dress (negative)
● properties:
	- fabric (negative)
",3
57,Rough and uncomfortable Feels cheap and like sandpaper. I wouldnât waste my money on this. Will be returning., Rough and uncomfortable Feels cheap and like sandpaper. I wouldnt waste my money on this . Will be returning .,"● Rough and uncomfortable Feels cheap and like sandpaper.
● I wouldnt waste my money on this.",,2
58,It's a t shirt. It's a t shirt, It's a t shirt. It's not a shirt . It's just a shirt. A t shirt . A shirt. The shirt.,"● It is a t shirt.
● It is a t shirt","● type:
	- t shirt (negative)
",5
59,"Cheaply Made / Unconfortable The side zipper comes all the way up into your armpit, I am large chested so I ordered an xxl - it was very baggy in the chest & the thin material seemed to hug in the wrong places. Also the pockets, because the dress is so thin the pockets kind of bowed out so it gave you extra love handles. The material also snagged - but it was single threads that pulled - for being one thread it still was very noticeable - there are better dresses pass on this"," The side zipper comes all the way up into your armpit, I am large chested so I ordered an xxl - it was very baggy in the chest . The material also snagged - but it was single threads that pulled - for being one thread it still was very noticeable .","● Cheaply Made / Unconfortable The side zipper comes all the way up into your armpit
● I am large chested so I ordered an xxl - it was very baggy in the chest  the thin material seemed to hug in the wrong places.
● because the dress is so thin the pockets kind of bowed out so it gave you extra love handles.
● it was single threads that pulled - for being one thread it still was very noticeable - there are better dresses pass on this","● emotion:
	- love handle (positive)
	- good dress (positive)
● type:
	- pocket kind (positive)
	- dress/good dress/dress pass (positive)
● properties:
	- zipper cheaply/side zipper (positive)
	- thin material (negative)
	- pocket kind (positive)
● other:
	- wrong place (negative)
	- love handle/extra love (positive)
	- single thread (positive)
● experience:
	- side zipper (positive)
",1
60,So cute!!! Doctors appt, So cute!!! Doctors appt. So cute! Check out the cute video below . Check it out! Check it below for more videos .,● Doctors appt,,5
61,Large The jacket itself is very good quality it's super large. I'm returning it and sizing down 1 or 2 sizes., The jacket itself is very good quality it is super large . I am returning it and sizing down 1 or 2 sizes .,● Large The jacket itself is very good quality it is super large.,"● emotion:
	- good quality (positive)
● properties:
	- good quality (positive)
",4
62,Arrived Stained! I purchased the red one and love it. The white arrived with several stains all over the front., Arrived Stained! I purchased the red one and love it . The white arrived with several stains all over the front .,● The white arrived with several stains all over the front.,"● other:
	- several stain (negative)
	- several stain (negative)
",3
63,"Fabric is beautiful. Well made and flattering. This dress is not sheer at all so nothing required underneath. It does have some stretch as it is the nature of the fabric. However, stretching it to fit would not be flattering. Buy your true size. You wonât be disappointed. Itâs well made for the price. Was pleasantly surprised.", This dress is not sheer at all so nothing required underneath . It does have some stretch as it is the nature of the fabric . But stretching it to fit would not be flattering .,"● Fabric is beautiful.
● This dress is not sheer at all so nothing required underneath.
● It does have some stretch as it is the nature of the fabric.
● stretching it to fit would not be flattering.
● Buy your true size.","● type:
	- dress (negative)
	- true size (positive)
● properties:
	- fabric (positive)
	- true size (positive)
",5
64,"Awesome top Saw this online and had to try it on when i found it in the store. i usually wear an 8 or a 10 depending on how things run, (i'm a 34 dd), so i tried on both sizes. i really could not see much of a difference between the two and was torn as to which size to get. the 10 was just a tad looser so i went with that one, but seriously i could not find or feel much of a difference. it is a very figure flattering top, and a plus that you can machine wash it. simply awesome!"," Awesome top Saw this online and had to try it on when i found it in the store . i usually wear an 8 or a 10 depending on how things run, i am a 34dd, so i tried on both sizes. i really could not see much of a difference between the two sizes. The 10 was just a","● Awesome top Saw this online and had to try it on when i found it in the store.
● i usually wear an 8 or a 10 depending on how things run
● i really could not see much of a difference between the two and was torn as to which size to get.
● the 10 was just a tad looser so i went with that one
● it is a very figure flattering top
● and a plus that you can machine wash it.","● properties:
	- size (positive)
● emotion:
	- awesome top/flatter top/top awesome (positive)
● other:
	- thing (negative)
",5
65,"Comfy fit, be careful when you wash them I love these pilcro pants. i had them in two colors, both beige and khaki. super comfy, and they stretch out a little around the waist with wearing. however, i recently ruined both sets in the wash because i used a stain-stick remover to try to get some grease spots out of them. the stain stick instead lifted the dye off of them! now i have two sets of pants with odd light splotches on them...so sad they aren't more color-fast :("," Comfy fit, be careful when you wash them I love these pilcro pants . I recently ruined both sets in the wash because i used a stain-stick remover to try to get some grease spots out of them .","● Comfy fit
● be careful when you wash them I love these pilcro pants.
● i recently ruined both sets in the wash because i used a stain-stick remover to try to get some grease spots out of them.
● the stain stick instead lifted the dye off of them!
● now i have two sets of pants with odd light splotches on them...so sad they are not more color-fast :","● other:
	- stain stick (negative)
	- pilcro pant (positive)
	- more color (negative)
	- odd light/light splotch (negative)
● type:
	- pilcro pant (positive)
● experience:
	- grease spot (negative)
	- comfy fit (positive)
● properties:
	- more color (negative)
",5
66,Love it Very comfortable and flattering fit. My daughter that does not wear dresses loved it so much so has adopted it as her own and I will be buying another., Love it Very comfortable and flattering fit . My daughter that does not wear dresses loved it so much so has adopted it as her own .,"● Love it Very comfortable and flattering fit.
● My daughter that does not wear dresses loved it so much so has adopted it as her own and I will be buying another.","● type:
	- dress love (positive)
● other:
	- dress love (positive)
● experience:
	- flattering fit (positive)
",5
67,it's not very well made it's a little too baggy in the waist area, it is not very well made. it is a little too baggy in the waist area . it is very baggy and not very good made .,● it is not very well made it is a little too baggy in the waist area,"● experience:
	- waist area (negative)
",3
68,"Not great quality These are fine, but they are not the durable quality I would have expected from Columbia. They are fine, but I anticipate them only lasting one or two seasons."," These are fine, but they are not the durable quality I would have expected from Columbia . I anticipate them only lasting one or two seasons. Not great quality .","● Not great quality These are fine
● but they are not the durable quality I would have expected from Columbia.","● properties:
	- great quality/durable quality (negative)
● emotion:
	- great quality (negative)
",3
69,"Great crop pant So i love pilcro, i wear them all the time and usually size down because they ""grow"" after wearing them. i tried on my usual size in these and felt like they are too tight, not sure if they will get any looser. the material feels really good, lightweight and the stripes are subtle but cute. not sure if i'll keep them or maybe size up,"," So i love pilcro, i wear them all the time and usually size down because they ""grow"" after wearing them . i tried on my usual size in these and felt like they are too tight, not sure if they will get any looser .","● Great crop pant So i love pilcro
● i tried on my usual size in these and felt like they are too tight
● not sure if they will get any looser.
● the material feels really good
● lightweight and the stripes are subtle but cute.","● type:
	- usual size (negative)
	- pant great/crop pant (positive)
● experience:
	- stripe (negative)
● properties:
	- material (positive)
	- usual size (negative)
● other:
	- pilcro (positive)
● emotion:
	- great crop/pant great (positive)
",4
70,"Love this dress and color! This is an adorable dress - I love the off the shoulder look. I originally ordered this in a medium, but sent it back and ordered the small, which fit better. The bust is very stretchy and the bottom is loose, so if you have a bigger bust you don't need to size up. Love the blue color and the material is nicer than I thought it would be. Can't wait to wear it at the beach. For reference my chest is 36.5 (34DD) and hips 36."," The bust is very stretchy and the bottom is loose, so if you have a bigger bust you do not need to size up . Love the blue color and the material is nicer than I thought it would be . Cannot wait to wear it at the beach .","● Love this dress and color!
● This is an adorable dress - I love the off the shoulder look.
● The bust is very stretchy and the bottom is loose
● so if you have a bigger bust you do not need to size up.
● Love the blue color and the material is nicer than I thought it would be.
● For reference my chest is 36.5 34DD and hips 36.","● other:
	- blue color (positive)
	- shoulder look (positive)
	- shoulder look (positive)
● properties:
	- material (positive)
	- blue color (positive)
● type:
	- dress/adorable dress (positive)
",5
71,Stinky Terrible chemical smell. Sweater was rough and made out of something else than yarn, Stinky Terrible chemical smell. Sweater was rough and made out of something else than yarn . Sweat was rough .,"● Stinky Terrible chemical smell.
● Sweater was rough and made out of something else than yarn","● type:
	- sweater (negative)
",2
72,Beautiful Dress True to Size! I am 5â6 and 185 lbs and a large which is my normal size I get fit me perfectly! It is very flattering and the length went right above my ankles, Beautiful dress True to Size! I am 56 and 185 lbs and a large which is my normal size I get fit me perfectly! It is very flattering and the length went right above my ankles .,"● Beautiful Dress True to Size!
● I am 56 and 185 lbs and a large which is my normal size I get fit me perfectly!
● It is very flattering and the length went right above my ankles","● type:
	- normal size (positive)
	- beautiful dress (positive)
● experience:
	- length flattering (positive)
● properties:
	- normal size (positive)
● emotion:
	- beautiful dress (positive)
",5
73,"Label falling off and pilling already After one wear The rubber label on the shorts started coming off, and itâs pilling between the thighs"," Rubber label on the shorts started coming off, and its pilling between the thighs . Label falling off and pilling already after one wear .",● Label falling off and pilling already After one wear The rubber label on the shorts started coming off,"● other:
	- short start (negative)
",3
74,Flattering and comfy. Love the paisley print. Dress is flattering and versatile.  It can be worn casually in the day or for an evening out., Dress is flattering and versatile and can be worn casually in the day or for an evening out . Love the paisley print. Flattering and comfy.,"● Love the paisley print.
● Dress is flattering and versatile.","● type:
	- dress (negative)
● other:
	- paisley print (positive)
",5
75,Extremely flattering Love this dress! It is super flattering on., Love this dress! It is super flattering on. Extremely flattering on . Extremely flat on. It is a super flattering dress .,● Extremely flattering Love this dress!,"● other:
	- flatter love (positive)
",5
76,Weak stitching The stitching is coming undone. The zipper failedâ¦, The stitching is coming undone on the zipper . The zipper failed . The stitching was coming undone. The stitching came undone .,"● Weak stitching The stitching is coming undone.
● The zipper failed","● properties:
	- zipper (negative)
",3
77,"runs small runs way smaller than expected, size up at least 2 sizes"," runs small runs way smaller than expected, size up at least 2 sizes . Runs small runs run small runs that size up to 2 sizes and size up a lot of them . Runs way smaller and way smaller sizes than expected .","● runs small runs way smaller than expected
● size up at least 2 sizes","● other:
	- run way (negative)
● properties:
	- size (negative)
",1
78,"See-through and bulky pockets I wanted to love the dress due to reviews. I'm a small or medium depending on item. I ordered a small. Dress was not flattering and somewhat big, I could see my undergarments and the pockets right through the dress, and pockets were bulky and unflattering as well.. I was going to try another color but I got it for $23 and now it's back to $36."," Dress was not flattering and somewhat big, I could see my undergarments and the pockets right through the dress . See-through and bulky pockets were bulky and unflattering as well .","● See-through and bulky pockets I wanted to love the dress due to reviews.
● Dress was not flattering and somewhat big
● I could see my undergarments and the pockets right through the dress
● and pockets were bulky and unflattering as well..
● I was going to try another color","● experience:
	- pocket right (positive)
● properties:
	- pocket right/bulky pocket/pocket (positive)
	- color (negative)
● type:
	- dress (positive)
",2
79,Absolutely Stunning ð¤© So beautiful! I received many compliments as well. ð," So beautiful! I received many compliments as well. Absolutely Stunning  So beautiful. So beautiful!"" she said .",● I received many compliments as well.,"● other:
	- many compliment (positive)
	- many compliment (positive)
",5
80,Comfortable Perfect for a party or casual dining, Comfortable Perfect for a party or casual dining . Comfortable and comfortable . Perfect for the party or a casual dining experience .,● Comfortable Perfect for a party or casual dining,"● other:
	- casual dining (positive)
",4
81,The little black dress Prefect fit nice and got so many compliments," The little black dress Prefect fit nice and got so many compliments . The Prefect is a little girl from New York City, New Jersey .",● The little black dress Prefect fit nice and got so many compliments,"● other:
	- many compliment (positive)
	- many compliment (positive)
	- black dress (positive)
● experience:
	- prefect fit (positive)
● type:
	- dress prefect/black dress (positive)
",5
82,"Great dress but not in green Beautiful dress. good quality. tts. i'm 5 feet 120 lbs. ordered my small petite. no issues. however, the green is very bright. the deal killer for me was when my hub said it looked like a starbucks barista's apron! it's going back. i marked yes if you plan on purchasing a black dress it's a yes.", Great dress but not in green . The green is very bright. The deal killer for me was when my hub said it looked like a starbucks barista's apron!,"● Great dress
● not in green Beautiful dress.
● good quality.
● ordered my small petite.
● the deal killer for me was when my hub said it looked like a starbucks barista's apron!
● i marked yes if you plan on purchasing a black dress it is a yes.","● emotion:
	- good quality (positive)
	- great dress (positive)
	- beautiful dress (positive)
● properties:
	- good quality (positive)
● other:
	- black dress (negative)
	- order (negative)
● type:
	- black dress/great dress/beautiful dress (positive)
",3
83,"Blue stripe is pale! :( I bought this in the blue stripe and the color is not what is shown at all! the photo shows a bright, vibrant blue and white stripe top. i got a white and very light pastel blue stripe top. so disappointed because the top doesn't have that wow look as shown in the photo. however, it goes well with blue jeans even in the lighter shade of blue.

and, the fabric is nice and cool for hot summer days."," Blue stripe is pale! : I bought this in the blue stripe and the color is not what is shown at all! The photo shows a bright, vibrant blue and white stripe top .","● Blue stripe is pale!
● : I bought this in the blue stripe and the color is not what is shown at all!
● the photo shows a bright
● vibrant blue and white stripe top.
● i got a white and very light pastel blue stripe top.
● so disappointed because the top does not have that wow look as shown in the photo.
● it goes well with blue jeans even in the lighter shade of blue.
● the fabric is nice and cool for hot summer days.","● properties:
	- fabric (positive)
	- white stripe (positive)
	- color (negative)
● experience:
	- white stripe/blue stripe/stripe top (positive)
● other:
	- blue stripe/blue jean (positive)
	- show (negative)
	- summer day (positive)
	- light shade (positive)
● emotion:
	- stripe top/top disappointed (positive)
● application:
	- summer day/hot summer (positive)
",4
84,"REALLY heavy The size was fine, but the material was SO heavy!  As soon as I took it out of the bag, I was thrown by the weight.  Then when I put it on, with the wrap, the weight all fell to the bottom of my body.  It wrapped correctly, but because I am small-chested, this dress looked and felt way too bottom heavy.  I did not like the material at all."," The size was fine, but the material was SO heavy! As soon as I took it out of the bag, I was thrown by the weight . Then when I put it on, with the wrap, the weight all fell to the bottom of my body . I did not like the material at all .","● REALLY heavy The size was fine
● but the material was SO heavy!
● the weight all fell to the bottom of my body.
● this dress looked and felt way too bottom heavy.","● properties:
	- material (negative)
	- size (positive)
● other:
	- dress look (negative)
● type:
	- dress look (negative)
",1
85,Design too fluorescent I loved the lavender color on the cape. it was soft and comfortable. but the design on the front ruined it for me. it took me all of 1 minute to know it was going back. i clicked i would recommend to others as it is nicely made and i guess just not my taste as far as the colors an, Design too fluorescent I loved the lavender color on the cape . It took me all of 1 minute to know it was going back .,"● Design too fluorescent I loved the lavender color on the cape.
● the design on the front ruined it for me.","● application:
	- design (positive)
● properties:
	- lavender color (positive)
",3
86,Unacceptable This is how I came home and found my order ð¡ð¡, Unacceptable This is how I came home and found my order . Unacceptable this is how she came home from work and found her order .,● Unacceptable This is how I came home and found my order,"● other:
	- order (negative)
",1
87,Excellent Play golf, Play golf golf for the first time in golf's history . Excellent Play golf. Excellent Play Golf. Excellent Golf.com golf.com .,● Excellent Play golf,,5
88,"Very pretty This is a very pretty skirt and the colors are better in real life. sizing was mostly true to size for me, slightly tight in the waist but i have a thicker waist compared to my hips. i'm 5'7 and 138# and ordered a size 4 (i usually size up to a 6 with retailer pencil skirts.) a 6 probably would have fit as well, especially in the waist but didn't want it too big in the hips. length was perfect, to my knees."," i am 5'7 and 138# and ordered a size 4 i usually size up to a 6 with retailer pencil skirts . sizing was mostly true to size for me, slightly tight in the waist but i have a thicker waist compared to my hips . length was perfect, to my knees .","● Very pretty This is a very pretty skirt and the colors are better in real life.
● slightly tight in the waist but i have a thicker waist compared to my hips.
● i am 5'7 and 138# and ordered a size 4 i usually size up to a 6 with retailer pencil skirts.
● length was perfect","● experience:
	- real life (positive)
	- waist thicker/thicker waist (negative)
	- length (positive)
● other:
	- retailer pencil (negative)
● properties:
	- size (negative)
	- color (positive)
",5
89,"Ig brought me here Love the way this top layers under my jackets and sweaters! so romantic and pretty. i am not experiencing the over pouf at the waist that a previous reviewer complained about. the fabric is slightly itchy and the top shipped to my house has misshapen shoulder bumps from the store hanger. all the beautiful styling pics done by retailer employees on ig is what made me want this blouse. whatever is going on with the model shot really really really does not represent how cute this top looks. in fact,", i am not experiencing the over pouf at the waist that a previous reviewer complained about . The fabric is slightly itchy and the top shipped to my house has misshapen shoulder bumps from the store hanger .,"● Ig brought me here Love the way this top layers under my jackets and sweaters!
● i am not experiencing the over pouf at the waist that a previous reviewer complained about.
● the fabric is slightly itchy and the top shipped to my house has misshapen shoulder bumps from the store hanger.
● all the beautiful styling pics done by retailer employees on ig is what made me want this blouse.
● whatever is going on with the model shot really really really does not represent how cute this top looks.","● service:
	- retailer employee (positive)
● other:
	- way (positive)
	- misshapen shoulder/shoulder bump (positive)
	- top layer (positive)
	- retailer employee (positive)
	- top look (positive)
● application:
	- store hanger (positive)
● emotion:
	- top layer/top look (positive)
	- beautiful styling/pic beautiful (positive)
● properties:
	- fabric (positive)
",4
90,"White Sweater Was having trouble finding a white sweater. This Nautica sweater was perfect. Perfect color and weight, combo cotton and polyester."," This Nautica sweater was perfect. Perfect color and weight, combo cotton and polyester . White Sweater was perfect .","● White Sweater Was having trouble finding a white sweater.
● This Nautica sweater was perfect.
● Perfect color and weight
● combo cotton and polyester.","● emotion:
	- perfect color (positive)
● type:
	- white sweater/nautica sweater/sweater wa (negative)
● properties:
	- perfect color (positive)
	- white sweater (negative)
",5
91,"Itâs nice Yeah this is a nice dress and itâs flattering, but you literally have to pull it down every 5 seconds and the extra fabric does bunch up when it rides up, which makes it look like a maternity dress and looks quite stupid when youâre not pregnant. Itâs also longer than the picture and measurements. Iâm almost 5â7 and it goes passed my knees, which I donât really like. Will probably wear it a few times but that did disappoint me."," The extra fabric does bunch up when it rides up, which makes it look like a maternity dress and looks quite stupid when youre not pregnant . Im almost 57 and it goes passed my knees, which I dont really like . Will probably wear it a few times but that did disappoint me .","● Its nice Yeah this is a nice dress and its flattering
● but you literally have to pull it down every 5 seconds and the extra fabric does bunch up when it rides up
● which makes it look like a maternity dress and looks quite stupid when youre not pregnant.
● Im almost 57 and it goes passed my knees
● Will probably wear it a few times","● application:
	- few time (negative)
● service:
	- few time (negative)
● other:
	- bunch (negative)
● emotion:
	- nice dress (positive)
	- few time (negative)
● type:
	- maternity dress/nice dress (positive)
● properties:
	- extra fabric (negative)
",4
92,Great price and fit Just what I expected, Great price and fit Just what I expected. Great price . Great size and fit . Just what you expected . Great weight and size . Great fit and great price .,● Great price and fit Just what I expected,"● emotion:
	- great price (positive)
● service:
	- great price (positive)
",5
93,"Perfect! This top is great - lightweight and flattering.
i can wear it to work with skinny white pants or to the grocery store with jeans. 
i purchased another color because i love the first i got so much.", This top is great - lightweight and flattering . Can wear it to work with skinny white pants or to the grocery store with jeans .,"● This top is great - lightweight and flattering.
● i can wear it to work with skinny white pants or to the grocery store with jeans.
● i purchased another color because i love the first i got so much.","● type:
	- white pant (negative)
● application:
	- grocery store (negative)
● properties:
	- color (positive)
	- white pant (negative)
● emotion:
	- top (positive)
",5
94,Material is wonderful! Love this dress!! Fits true to size washes nicely very flattering!, Material is wonderful! Love this dress!! Fits true to size washes nicely very flattering! Fitstrue to size . Fits True to size size . Washes nicely and washes well .,"● Material is wonderful!
● Love this dress!!
● Fits true to size washes nicely very flattering!","● type:
	- dress (positive)
● properties:
	- material (positive)
	- size wash (positive)
● application:
	- size wash (positive)
",5
95,I expected a new dress but it says on the wrapper that this is its second life Mixed feelings - I expected a new dress and on the wrapper is a sticker thanking me for giving this product a second life. I would have been okay had that been obvious when I ordered. So I am not sure what I will do. Otherwise I like the dress., Mixed feelings - I expected a new dress and on the wrapper is a sticker thanking me for giving this product a second life . I would have been okay had that been obvious when I ordered . Otherwise I like the dress .,"● I expected a new dress
● it says on the wrapper that this is its second life Mixed feelings - I expected a new dress and on the wrapper is a sticker thanking me for giving this product a second life.","● type:
	- new dress (positive)
● service:
	- product (negative)
",3
96,"Lovely but not awesome This dress is a bit scratchy, but overall i liked the fabric well enough. on someone blond and fair, the peach color washes out a bit."," This dress is a bit scratchy, but overall i liked the fabric well enough . on someone blond and fair, the peach color washes out a bit .","● Lovely but not awesome This dress is a bit scratchy
● on someone blond and fair
● the peach color washes out a bit.","● application:
	- color wash (negative)
● type:
	- dress (negative)
● properties:
	- color wash/peach color (negative)
",3
97,Great dress I absolutely love everything about this dress. it can be dressed up or down. no complaints., Great dress I absolutely love everything about this dress. it can be dressed up or down. no complaints. Great dress .,● Great dress I absolutely love everything about this dress.,"● type:
	- dress great/great dress (positive)
● emotion:
	- dress great/great dress (positive)
",5
98,"Cute and cozy but poor quality fabric This jacket is cozy, warm, and very cute, but after the 1st washing (according to the manufacturer's instructions) it began to pill and has worsened each time.", After the 1st washing according to the manufacturer's instructions it began to pill and has worsened each time . Cute and cozy but poor quality fabric .,"● Cute and cozy but poor quality fabric This jacket is cozy
● but after the 1st washing according to the manufacturer's instructions it began to pill and has worsened each time.","● emotion:
	- poor quality (negative)
● application:
	- 1st wash/wash accord (negative)
● properties:
	- quality fabric/poor quality (negative)
	- quality fabric (negative)
",3
99,"Cute, with reservations First one i received was ripping apart already in the sleeve opening at wrist (warning: very tight sleeves!), plus 2"" of the green shiny band detail was missed altogether by whomever sewed this particular one- just left unstitched. and long threads were hanging in several places. this is by no means a quality piece and is severely overpriced. on the positive side, it is very cute and i'm keeping the replacement one, but know that it is also delicate. after one use, there is a snag on the inside"," Cute, with reservations . First one ripped apart already in the sleeve opening at wrist warning: very tight sleeves! 2"" of the green shiny band detail was missed altogether by whomever sewed this particular one .","● with reservations First one i received was ripping apart already in the sleeve opening at wrist warning: very tight sleeves!
● plus 2"" of the green shiny band detail was missed altogether by whomever sewed this particular one- just left unstitched.
● and long threads were hanging in several places.
● this is by no means a quality piece and is severely overpriced.
● on the positive side
● it is very cute and i am keeping the replacement one","● other:
	- positive side (positive)
	- several place/replacement (positive)
	- several place (negative)
	- thread (negative)
● experience:
	- positive side (positive)
● application:
	- quality piece (positive)
● properties:
	- quality piece (positive)
",3
